#,Title,Alert Type,Status,Start,End,Latitude,Longitude,Source,Description,ID
129,Incendian Transporte de Personal,safety,PAST,2026-02-23 01:46,2026-02-23 05:46,20.94175198,-101.4282918,Aliados en ruta. En proceso de validación,Sujetos Armados Incendian Transporte Privado de Personal de la Empresa DM Control ,2b63cd0e-cd5e-4748-b277-31c6cc418e40
130,Quema de banco bienestar,safety,PAST,2026-02-23 01:45,2026-02-23 05:45,19.6917169,-100.554915,Aliados en ruta. En proceso de validación,Quema de banco,68f612dc-5174-40d8-af70-772b4bd62f9a
131,Quema de vehiculos,vial,PAST,2026-02-23 00:56,2026-02-23 04:56,22.3535878,-103.2095913,Aliados en ruta. En proceso de validación,Narcobloqueo,3a3f6b65-57ef-4896-b217-9e1d1d1df4a7
132,Enfrentamiento Armado,safety,PAST,2026-02-22 19:44,2026-02-22 23:44,20.9546234,-101.418172,Aliados en ruta. En proceso de validación,Enfrentamiento Armado de Policía Municipal contra un grupo de civiles armados ,b7127684-a7b3-4d2d-8868-73da1e676b88
133,Narco bloqueo,safety,PAST,2026-02-23 01:56,2026-02-23 05:56,19.46648894,-100.3433945,Aliados en ruta. En proceso de validación,Bloqueo y quema de vehículos ,bfc73636-3c67-4d6a-87d7-08c8d63fcb88
134,Incendian Oxxo,safety,PAST,2026-02-22 18:14,2026-02-22 22:14,20.9540708,-101.4107759,Aliados en ruta. En proceso de validación,Sujetos Armados no identificados incendian Oxxo ,59deeac0-30de-41f3-8c7b-304818e832a7
135,Bloqueo Carretera a GDL,safety,PAST,2026-02-22 18:23,2026-02-22 22:23,21.47508324,-103.4492918,Aliados en ruta. En proceso de validación,Se presenta un bloqueo de la carretera en teul zac,0961e41e-50c6-49f7-a146-c79e29a49afa
136,Quema de camión de transporte público por narcos,safety,PAST,2026-02-22 10:07,2026-02-22 14:07,20.65199198,-103.2712364,Aliados en ruta. En proceso de validación,"Transporte público en llamas, peligros y narcobloqueo cerca de las zonas del parque de la solidaridad y Luis Quintanar. ",5a8c00fb-2a41-4041-a907-70ade5ad5a38
137,Detonaciones,vial,PAST,2026-02-22 07:20,2026-02-22 11:20,26.32373653,-98.846556,C3ntro,Detonaciones por el hospital cerca del Vado ,975675eb-8bf0-4b54-a478-ad79cdcb6720
138,Quemaron,general,PAST,2026-02-22 13:05,2026-02-22 17:05,20.6497127,-103.4563886,Aliados en ruta. En proceso de validación,Quemaron el auto rally ,9fd6da9b-717a-4476-bc65-19c31f1d5b7b
